Altium Designer Pick and Place Locations
C:\Users\hohoa\OneDrive\EPCB Hardware Design\08_DIY and Dev Projects\Dev Board\AK MCU KIT 2I3\02_Design_Files\Electronics\Project Outputs for AK MCU KIT 2I3\AK MCU KIT 2I3\Pick Place for AK MCU KIT 2I3(DVT).csv

========================================================================================================================
File Design Information:

Date:       10/03/26
Time:       11:05
Revision:   Not in VersionControl
Variant:    DVT
Units used: mm

"Designator","Center-X(mm)","Center-Y(mm)","Layer","Rotation"
"R39","35.4076","28.4988","BottomLayer","90"
"R38","32.0548","37.9222","BottomLayer","0"
"R37","42.0878","47.2440","BottomLayer","180"
"R2","9.4769","27.0788","BottomLayer","180"
"D5","50.3335","11.8135","BottomLayer","90"
"R36","43.7642","36.0680","BottomLayer","0"
"C17","45.9013","8.8388","BottomLayer","180"
"U7","42.4962","51.5493","BottomLayer","90"
"C29","39.1695","44.1222","BottomLayer","90"
"R33","40.1601","42.1918","BottomLayer","270"
"R32","40.1601","44.1222","BottomLayer","270"
"C31","41.5798","37.5158","BottomLayer","180"
"L2","46.9419","42.0394","BottomLayer","90"
"D9","42.1921","40.0074","BottomLayer","0"
"C30","42.6239","45.9764","BottomLayer","0"
"U8","42.6493","43.0554","BottomLayer","180"
"R34","31.9305","47.5258","BottomLayer","270"
"C34","38.7138","37.3323","BottomLayer","0"
"C27","25.4027","47.2464","BottomLayer","0"
"R19","39.9796","4.8768","BottomLayer","90"
"J6","43.0001","30.0000","BottomLayer","90"
"J9","17.0000","4.5001","BottomLayer","180"
"R35","33.8355","47.5258","BottomLayer","90"
"C33","38.7121","38.3229","BottomLayer","0"
"C32","35.9055","47.6528","BottomLayer","180"
"C28","27.4093","47.5258","BottomLayer","270"
"J15","3.1471","32.7080","BottomLayer","90"
"J12","3.1471","21.8711","BottomLayer","90"
"R20","45.4660","4.8768","BottomLayer","90"
"R18","18.4158","10.2180","BottomLayer","270"
"R17","44.4388","4.8768","BottomLayer","270"
"R16","40.9984","4.8768","BottomLayer","270"
"R15","17.3792","10.2108","BottomLayer","90"
"C13","42.0169","4.8768","BottomLayer","270"
"C12","16.3606","10.2108","BottomLayer","90"
"C14","43.4113","4.8768","BottomLayer","270"
"C3","23.1674","24.4882","BottomLayer","180"
"J10","56.7196","44.9300","BottomLayer","270"
"J7","56.7196","22.4800","BottomLayer","270"
"J4","56.7196","32.7080","BottomLayer","270"
"J2","30.0001","43.9684","BottomLayer","180"
"Q2","42.1614","57.8129","BottomLayer","270"
"Q3","50.0407","57.8129","BottomLayer","270"
"D7","44.3000","58.6447","TopLayer","180"
"D8","49.3162","58.6448","TopLayer","180"
"BT1","30.3600","10.1000","BottomLayer","270"
"C18","29.3143","24.5642","BottomLayer","0"
"F1","48.8469","6.9620","BottomLayer","180"
"D4","44.6051","7.0128","BottomLayer","0"
"D1","8.1409","12.5150","BottomLayer","270"
"C11","10.5183","12.0166","BottomLayer","270"
"C10","10.9898","17.4502","BottomLayer","0"
"U3","12.8550","15.2413","BottomLayer","270"
"R30","39.5251","58.4224","BottomLayer","0"
"R31","47.4043","58.4224","BottomLayer","0"
"R28","39.5251","56.3650","BottomLayer","180"
"R29","47.4043","56.3650","BottomLayer","180"
"R26","39.5251","57.4001","BottomLayer","0"
"R27","47.4043","57.4001","BottomLayer","0"
"U4","32.9418","23.6981","BottomLayer","0"
"R14","14.0235","48.2420","BottomLayer","0"
"C9","19.3962","35.8940","BottomLayer","0"
"D6","55.2375","51.8342","BottomLayer","270"
"U2","16.1570","39.0412","BottomLayer","90"
"R25","48.0826","52.4803","BottomLayer","180"
"R24","48.0787","50.5489","BottomLayer","180"
"R23","50.5204","51.6373","BottomLayer","270"
"Q1","11.0771","47.3276","BottomLayer","0"
"R11","14.0235","47.2260","BottomLayer","180"
"L1","14.0559","54.0468","BottomLayer","180"
"C15","8.1788","52.4552","BottomLayer","270"
"U6","45.6844","11.1658","BottomLayer","270"
"C25","41.4754","9.4338","BottomLayer","90"
"C21","43.8177","13.3120","BottomLayer","180"
"R22","51.0314","6.4286","BottomLayer","90"
"R21","52.0474","6.4286","BottomLayer","90"
